mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_matpes_PBE_0_D3,G_vrh_mace_matpes_PBE_0_D3
mp-861884,AcGaTe2,43.131,14.998,35.695252156544754,22.50823957414337
mp-1390618,SnO2,42.723,28.477,130.82511281816105,78.6481880564816
mp-983358,HfAlFe2,172.287,92.953,180.82838356588988,126.163253239126
mp-600124,MnNiSb,101.928,50.092,117.22927034533114,68.3100101105999
mp-1635,TbMg,40.716,20.807,37.452471391485474,19.610561954687057
mp-3384,Er3Al5O12,173.762,105.755,179.80557754941916,102.64850067345031
mp-55,Sn,46.694,5.892,53.90657064946212,-23.706635495855284
mp-4668,K(CoSe)2,50.314,24.198,74.86721469712361,44.48670296959999
mp-554352,Ba2CuF6,57.176,21.226,68.10836527121393,26.426643354379443
mp-862966,PmTlAg2,65.448,18.899,54.19297561371,-0.9119608977507142
mp-973824,LiHg3,22.639,18.474,37.51085856547634,5.442142980815072
mp-11722,PrGe2,64.615,22.802,71.01947758625704,35.54123849815695
mp-7426,Ba(ZnP)2,55.357,28.964,57.866894424999074,32.59258341667328
mp-675180,ErCuSe2,65.035,28.853,72.20162579352481,35.97986371653086
mp-974421,IrRu,329.122,156.327,375.13714467728704,199.42506410473084
mp-20552,Cr2As,155.123,75.452,188.06824741850275,21.343387524305893
mp-1008483,CdN,101.532,19.068,75.31323110788455,33.334988976044215
mp-1560,LaTe,54.332,21.792,58.40977257457745,28.83054058189231
mp-5526,La(CoSi)2,117.558,76.385,136.69260121860788,82.41175345035316
mp-11801,K3N,2.72,1.43,9.159052921155885,4.628224748298069
mp-4494,NaYbS2,36.215,11.768,55.350322431741766,34.32767421593274
mp-13498,Tb2Mg,39.124,15.539,33.407082036355874,14.934668766228562
mp-867125,Al2RuPt,201.068,97.729,226.3166769399389,126.28342463546592
mp-980663,Yb2Mg,21.912,6.47,28.90412493797182,18.948583467540217
mp-644281,Mg7TiH16,63.812,30.422,65.66248554163609,30.701253273001328
mp-977408,NbTlO3,176.002,93.616,178.3617110849819,83.61277682287874
mp-27954,CuN3,15.781,4.885,64.02513612362199,37.88169435382546
mp-915,YCd,56.99,28.662,68.52369584922263,30.73810620310272
mp-570018,Ce3Pb,47.518,28.668,54.52231527688117,26.75440637706146
mp-6950,BaSb3,27.116,16.98,46.82582546400525,24.87759922662111
mp-757031,Mg2TiO4,146.153,71.912,142.80773428708994,74.56763887750519
mp-7381,TbMg3,40.267,24.883,35.01856693803168,23.93738028588545
mp-978513,SmErMg2,40.708,21.424,33.398001362470715,21.72365178311028
mp-4252,SnPS3,16.223,11.956,48.414517549540335,24.1109824252786
mp-28174,Pd(SCl3)2,2.346,2.36,38.48304273981161,15.354631538620708
mp-1025165,Zr(VGa2)2,131.585,88.202,152.58087014427008,91.00924375119084
mp-27409,RbNiBr3,12.959,3.423,29.91654334632447,17.170800022739943
mp-23192,HgI2,3.392,2.493,20.326437471406724,8.745511013457921
mp-865652,TiMn2Si,207.779,105.768,223.2523477112542,131.33804796862566
mp-638,SrZn5,52.276,24.166,59.6963484374243,32.36533204198458
mp-31187,TiAlFe2,184.183,85.502,207.011473059741,137.71129903162287
mp-976847,Ni3Sb,164.639,57.89,166.6344872852564,74.469052311745
mp-1087,SrS,48.468,32.3,52.342697638901576,31.92504234541961
mp-1136,Na3As,22.238,13.902,30.40290539041032,19.750058421605292
mp-2490,GaP,76.335,51.463,74.86512483146328,56.897191685264666
mp-866062,HfSiRu2,228.517,106.888,240.45579617804188,111.3497516882034
mp-636368,Ga3Fe,102.587,66.476,103.24894080868692,62.168071629071626
mp-7132,DySe,44.941,4.976,43.765989055347056,21.07993719682353
mp-7991,BN,97.905,68.078,152.6155019623806,91.26137559108857
mp-631524,BTe2As,65.801,8.576,70.3262546478242,10.040442386708404
mp-3826,Ce(SiPd)2,124.834,56.202,133.14597474860972,70.31510828481511
mp-754434,Hf3N4,212.613,66.114,236.78355333938825,143.5674140556872
mp-865155,MgAlRh2,155.745,85.611,185.4397297470592,111.62125396836026
mp-4428,CaSiO3,76.748,39.815,143.98459160343066,79.9414595683314
mp-10212,ScGe2,80.354,56.949,84.03604400065537,58.445637066464
mp-15297,Hf6NiSb2,131.265,72.06,126.50632577847028,66.35370603149644
mp-864796,EuCdHg2,37.559,11.896,55.94977065517413,21.243465082382404
mp-20206,ThIn3,65.84,31.631,76.405865747839,38.03448390447579
mp-1079630,Ba2TaInO6,140.02,78.541,145.29072167133887,77.382317841762
mp-1029312,RbVN2,39.935,39.756,119.775483266224,47.44083340871575
mp-8456,SrAsPt,72.367,29.338,77.04768302984708,41.41267615302957
mp-567588,DyInRh,98.902,31.23,94.61647207086786,36.214620725072926
mp-4788,K(OsO3)2,129.08,80.552,155.80413340267606,71.90818462979536
mp-8307,CaNi4B,132.728,61.205,174.83468024888296,88.51973947785356
mp-752730,Ba2GeO4,64.347,31.103,102.14484616877742,53.76162202599375
mp-4571,CaZrO3,149.043,85.19,157.96985437169985,83.96267690905238
mp-23204,FeCl3,15.609,9.15,19.78691528067027,31.153450198585183
mp-862629,ScRh2Pb,139.016,187.799,151.13436263065992,60.94246890693936
mp-3706,Ho2Co12P7,201.47,106.337,210.34667660616984,119.2481677370264
mp-3061,TbNiC2,145.7,95.952,187.7006058841979,105.48974944546477
mp-865202,TmCdPt2,123.512,20.588,135.43021124789254,16.399038600076217
mp-1019055,ReN2,384.053,265.328,448.3629997159705,277.24054983764756
mp-778364,Na6Ti2O7,46.367,25.335,89.63143426857603,45.106396674326575
mp-866375,TiFe2Ge,210.464,127.259,239.23317667609217,136.5859389715241
mp-8062,SiC,212.682,187.246,259.1398039234756,192.1853109933018
mp-9587,TaMoN,306.124,172.722,325.6472643584357,186.3994487669613
mp-614603,CsI,8.224,4.02,13.289618591033198,6.221503998547424
mp-30227,Rb2WCl6,11.06,4.8870000000000005,38.75012793074296,21.09993481047964
mp-3951,Ti2CuS4,100.958,37.972,121.42489576572272,64.18059111858148
mp-865845,Yb2CuIr,69.855,33.64,102.46078552322082,38.82281883046709
mp-754483,Na3(CuO2)2,33.577,21.098,76.36884977655836,37.87119052393614
mp-1008285,Cr3Fe,239.14,60.631,242.5451917340696,20.54565681852367
mp-16342,HoGe,80.872,54.586,74.4993941911748,46.754767347389155
mp-752426,Li3SbS4,38.534,25.974,66.76518895597914,39.43716583760859
mp-27743,BiF5,13.737,10.508,92.63826002415271,51.352498332308635
mp-21366,Yb(GeRu)2,113.282,47.997,154.30454424672632,79.62986524930636
mp-905,LaF3,102.112,39.391,113.23830614418064,50.22785978468598
mp-9953,HfP,147.126,83.603,164.05567147386628,119.09016605894874
mp-643273,NaH2Pd3,108.766,34.066,128.01577745407957,44.27034096687404
mp-972228,Zr3As2,125.408,62.953,143.8136824236015,93.11600276725518
mp-30819,LiAl2Pt,124.378,59.706,146.34668437956074,81.30503463878787
mp-7092,TiSi,145.819,99.581,182.0968057666063,121.91368071823652
mp-862703,Sc2AgAu,91.964,32.821,97.52682820028286,44.16501466650088
mp-978265,Mg2ZnPd,72.28,25.948,80.90839337488129,36.65603909761046
mp-10844,Te2Ir,111.463,53.591,111.88565781042465,65.6188455347499
mp-140,Ga,49.645,8.836,53.3863867733847,6.045058813194745
mp-31496,Li2Sn2Au,47.106,21.387,64.22747567807548,30.898134066414435
mp-13816,Cs2NaErF6,31.129,17.633,46.31725990380083,22.31429823674148
mp-972119,SrCaTl2,28.313,16.901,35.509936902743966,20.660849670897967
mp-4552,ErInCu2,88.491,42.728,90.08971032478092,42.52794892556342
